t,energy
0,2.468892395932589
0.005,2.470112935197274
0.01,2.471335015539793
0.015,2.472559416997957
0.02,2.473787677988841
0.025,2.475022941184216
0.03,2.476271879691839
0.035,2.477549295855381
0.04,2.47888962148586
0.045,2.480377061423144
0.05,2.48222805980129
0.05499999999999999,2.485025707074756
0.05999999999999999,2.49040728723433
0.06499999999999999,2.503133483757449
0.06999999999999999,2.537443175576223
0.075,2.636881943564712
0.08,2.936948091730563
0.08500000000000001,3.864973378288901
0.09000000000000001,6.782931728073512
0.09500000000000001,16.0680686828887
0.1,45.88371283511544
0.105,142.313594218465
0.11,456.0061291228707
